Name,Assets
SUTTER HEALTH,4975409814
CALIFORNIA INSTITUTE OF TECHNOLOGY,4949956000
SCRIPPS HEALTH,4938384870
FRANCISCAN ALLIANCE INC,4890699250
CHILDRENS HOSPITAL CORPORATION,4856437562
POUDRE VALLEY HEALTH CARE INC,4835353781
PENNSYLVANIA STATE EMPLOYEES CREDIT UNION,4811123282
ST JUDE CHILDRENS RESEARCH HOSPITAL INC,4787635534
TEXAS CHILDRENS HOSPITAL,4757433001
GOLDMAN SACHS PHILANTHROPY FUND,4720956415
ACCESSLEX INSTITUTE,4716638964
SMITHSONIAN INSTITUTE,4712932038
BOSTON COLLEGE TRUSTEES,4693970609
INDEPENDENT ORDER OF FORESTERS,4568716357
CATHOLIC UNITED INVESTMENT TRUST,4546230503
COMMON FUND FOR NON-PROFIT ORGANIZATIONS,4542943466
BJC HEALTH SYSTEM,4504621451
UNIVERSITY HOSPITALS HEALTH SYSTEM INC,4499388000
PHEAA STUDENT LOAN FOUNDATION INC,4463411425
INOVA HEALTH CARE SERVICES,4434059775
NEW YORK STATE CATHOLIC HEALTH PLAN INC,4275726392
UNIVERSITY OF BRITISH COLUMBIA,4256244274
THE METROPOLITAN MUSEUM OF ART,4183398721
ROCKEFELLER FOUNDATION,4086668694
INTERNATIONAL OLYMPIC COMMITTEE,3902376000
AMHERST COLLEGE TRUSTEES,3714434448
ROCKEFELLER UNIVERSITY,3672198954
OPEN SOCIETY INSTITUTE,3576983656
WILLIAMS COLLEGE,3522014597
CARNEGIE CORPORATION OF NEW YORK,3517541598
THE OXFORD FUNDS,3487211906
TRUSTEES OF TUFTS COLLEGE,3483123623
HACKENSACK MERIDIAN HEALTH INC,3379438327
FEDERATION INTERNATIONALE DE FOOTBALL ASSOCIATION,3351899816
MOUNT SINAI HOSPITAL,3337181511
YALE NEW HAVEN HOSPITAL,3334892698
THE JPB FOUNDATION,3317349492
UNIVERSITE DE MONTREAL SUCCURSALE A QUEBEC,3230250000
MONTEFIORE MEDICAL CENTER,3212796276
WEIZMANN INSTITUTE OF SCIENCE,3107813000
KAISER FOUND HEALTH PLAN INC RETIREE HEALTH & WELFARE PLAN TR,3094940317
HARVARD PRIVATE CAPITAL HOLDINGS INC,3084547345
SERVICE CREDIT UNION,3029052948
SIMONS FOUNDATION INC,3027107590
UNIVERSITY OF WESTERN ONTARIO,3004657676
FUNDACAO CALOUSTE GULBENKIAN,2985752283
NORTHEASTERN UNIVERSITY,2870128000
ATLANTIC HEALTH SYSTEM INC,2857018047
UNIVERSITY OF B C PENSION PLAN FOR MEMBERS OF THE ACADEMIC STAFF,2291970421
COIF CHARITIES INVESTMENT FUND,2143146069
UNIVERSITY OF AUCKLAND,2129525886
TEL AVIV UNIVERSITY,1993176537
UNIVERSITY OF SASKATCHEWAN,1940387040
UNIVERSITY OF WATERLOO,1933348425
NATIONAL TRUST FOR PLACES OF HISTORIC INTEREST OR NATURAL BEAUT,1925443000
UNIVERSITY OF MANITOBA,1906043000
MCMASTER UNIVERSITY ONTARIO,1893435165
QUEENS UNIVERSITY AT KINGSTON DEPARTMENT OF FINANCIAL SERVICES,1822089938
UNIVERSITY OF B C STAFF PENSION PLAN,1631869807
UNIVERSITY HEALTH NETWORK,1550059173
SIMON FRASER UNIVERSITY,1375544243
INSTITUT PASTEUR,1372426261
DALHOUSIE UNIVERSITY,1341663000
THE HEALTH FOUNDATION,1195433846
HOSPITAL FOR SICK CHILDREN FOUNDATION,1180184424
UNIVERSITY OF VICTORIA,1059168465
CARLETON UNIVERSITY,1028542348
CARLETON UNIVERSITY RETIREMENT PLAN S1S 5B6,1026824671
ST JOHN BAPTIST COLLEGE IN THE UNIVERSITY OF OXFORD,870347231
VANCOUVER FOUNDATION,855662926
UNIVERSITE DE SHERBROOKE,712090174
HEBREW UNIVERSITY ASSOCIATION JERUSALEM PALESTINE,706582000
VICTORIA UNIVERSITY,574112526
INTER AMERICAN UNIVERSITY OF PUERTO RICO,566969429
COOPERATIVA DE AHORRO Y CREDITO DE RINCON,565659192
UNIVERSITY OF NEW BRUNSWICK,535827676
WARSZAWSKI UNIWRSYTET MEDYCZNY,530986530
SHELL FOUNDATION,516098894
NATASHA FOUNDATION,504539757
SIR MORTIMER B DAVIS JEWISH GENERAL HOSPITAL,502403932
UNIVERSITY OF REGINA,494755048
KHODORKOVSKY FOUNDATION,493147588
NUFFIELD FOUNDATION,487260783
